# 形码码表：词	编码	词频。词频由青简词库按词面回填（不是码表自带的权重），出处见 assets/wubi/README.md
萘	adfi	216
期刊	adfj	2743
荂	adfn	1
敬而远之	adfp	123
若无	adfq	1
期考	adft	66
其境	adfu	262
若夫	adfw	1
葳	adg	199
巧夺天工	adga	23
甚至	adgc	18386
藏青	adge	60
基于	adgf	9380
苦于	adgf	203
甚于	adgf	55
其一	adgg	1
勘正	adgh	1
若不	adgi	1
惹事	adgk	300
若再	adgm	1
惹来	adgo	1
苦熬	adgq	14
期末	adgs	4507
葳	adgt	199
葴	adgt	3
荐	adh	892
欺瞒	adha	50
荐	adhb	892
葜	adhd	190
茬	adhf	519
项目	adhh	28730
基督	adhi	2288
苦战	adhk	309
基点	adhk	104
蒧	adht	1
革故鼎新	adhu	4
蘴	adhu	1
惹眼	adhv	53
蔧	adhv	1
期盼	adhw	1227
藉此	adhx	1
藉	adi	659
期满	adia	451
莽汉	adic	2
苦水	adii	183
藉	adij	659
勘测	adim	369
苦学	adip	36
斟酒	adis	25
苦海	adit	600
苦涩	adiv	420
藕	adiy	1144
菲	adj	11166
菲	adjd	11166
匪	adjd	1173
其时	adjf	695
若是	adjg	1892
韮	adjg	1
期日	adjj	1
菴	adjn	1
蕜	adjn	1
苦果	adjs	69
若	adk	24144
欺哄	adka	3
鄀	adkb	18
若	adkf	24144
苦味	adkf	283
其中	adkh	101020
蠚	adkj	1
藏品	adkk	868
匲	adkk	1
惹	adkn	11802
逽	adkp	1
苈	adl	157
苈	adlb	157
基因	adld	5184
基辅	adlg	1061
苦思	adln	20
巧克力	adlt	8893
苦力	adlt	731
项圈	adlu	353
苦累	adlx	1
项	adm	9306
基岩	admd	1
藉由	admh	1
荋	admj	1
卧龙山	admm	1
蔚成风气	admr	1
蒇	admt	15
蕆	admt	1
欺罔	admu	1
期内	admw	1
项	admy	9306
項	admy	1
茂	adn	5629
基层	adnf	1669
苦情	adng	1
藏书	adnn	1062
项羽	adnn	316
藏	adnt	15828
茂	adnt	5629
荿	adnt	1
苦恼	adny	1728
苦心	adny	184
蕨类	adod	1
基业	adog	59
惹火	adoo	1
世态炎凉	adou	163
基数	adov	535
藕粉	adow	15
苦寒	adpf	60
藏宝	adpg	70
匪军	adpl	10
茂密	adpn	333
欺客	adpt	1
其实	adpu	112311
荙	adpu	4
勘察	adpw	482
其它	adpx	8155
惹祸	adpy	65
基色	adqc	10
其解	adqe	1
其外	adqh	1
苦乐	adqi	1
其名	adqk	1
项链	adql	2329
